cluster,timestamp,hour,trip_count,total_fare
0.0,2024-06-04 08:00:00,8,59,8122.350000000001
0.0,2024-06-04 09:00:00,9,105,14796.310000000001
0.0,2024-06-04 10:00:00,10,165,23318.930000000008
0.0,2024-06-04 11:00:00,11,110,15396.310000000003
0.0,2024-06-04 12:00:00,12,110,13428.120000000004
0.0,2024-06-04 13:00:00,13,136,18593.160000000003
0.0,2024-06-04 14:00:00,14,158,21446.76
0.0,2024-06-04 15:00:00,15,125,18109.560000000005
0.0,2024-06-04 16:00:00,16,128,18642.35
0.0,2024-06-04 17:00:00,17,127,16649.12000000001
0.0,2024-06-04 18:00:00,18,143,18485.24
0.0,2024-06-04 19:00:00,19,147,15806.119999999999
0.0,2024-06-04 20:00:00,20,148,14912.120000000006
0.0,2024-06-04 21:00:00,21,161,15421.280000000006
0.0,2024-06-04 22:00:00,22,136,13748.390000000003
0.0,2024-06-04 23:00:00,23,140,14301.239999999998
0.0,2024-06-05 00:00:00,0,97,8246.32
0.0,2024-06-05 01:00:00,1,10,997.9200000000002
0.0,2024-06-05 04:00:00,4,1,36.01
0.0,2024-06-05 05:00:00,5,3,259.52
0.0,2024-06-05 06:00:00,6,2,191.29
0.0,2024-06-05 07:00:00,7,43,5894.470000000001
0.0,2024-06-05 08:00:00,8,73,9345.420000000004
0.0,2024-06-05 09:00:00,9,116,16433.61
0.0,2024-06-05 10:00:00,10,118,14932.669999999995
0.0,2024-06-05 11:00:00,11,111,14186.599999999999
0.0,2024-06-05 12:00:00,12,107,13630.069999999998
0.0,2024-06-05 13:00:00,13,110,15406.059999999998
0.0,2024-06-05 14:00:00,14,122,17310.930000000004
0.0,2024-06-05 15:00:00,15,90,11859.339999999998
0.0,2024-06-05 16:00:00,16,87,12636.560000000001
0.0,2024-06-05 17:00:00,17,113,16143.88999999999
0.0,2024-06-05 18:00:00,18,117,15650.970000000005
0.0,2024-06-05 19:00:00,19,143,16124.589999999998
0.0,2024-06-05 20:00:00,20,145,15554.340000000004
