LocationID,hour,cx,cy,cluster_id,intensity_hour,avg_fare_hour,avg_duration_min_hour
138,23,-73.87362864289108,40.77437570593249,0,28121,68.186308630394,26.498342714196372
138,21,-73.87362864289108,40.77437570593249,0,27234,69.77106567235988,28.409024937855825
132,22,-73.78653298334986,40.64698489239521,1,26314,85.44324324324324,39.98840195335523
138,20,-73.87362864289108,40.77437570593249,0,26257,70.43200456736868,28.85584876934788
132,23,-73.78653298334986,40.64698489239521,1,25469,85.69476092544987,39.617489288774635
138,18,-73.87362864289108,40.77437570593249,0,25247,76.4172311333158,36.68166798141818
138,10,-73.87362864289108,40.77437570593249,0,25227,79.06637589214908,38.39965195171381
138,19,-73.87362864289108,40.77437570593249,0,25051,72.3269366479551,31.852058273188987
138,14,-73.87362864289108,40.77437570593249,0,24805,84.84009320905459,43.968295605858856
138,22,-73.87362864289108,40.77437570593249,0,23892,67.51881322957199,27.8013387066889
138,16,-73.87362864289108,40.77437570593249,0,23876,86.07030962343096,45.4972989307299
132,0,-73.78653298334986,40.64698489239521,1,23713,82.70695448275863,35.75725977011494
138,15,-73.87362864289108,40.77437570593249,0,23513,85.07698238521513,46.0675281547791
138,17,-73.87362864289108,40.77437570593249,0,23265,81.83930152342627,42.070671648941264
138,13,-73.87362864289108,40.77437570593249,0,22394,79.63827043090637,39.176874690440805
132,21,-73.78653298334986,40.64698489239521,1,22351,88.9396664681358,40.69873932896566
132,20,-73.78653298334986,40.64698489239521,1,22257,90.99174814814816,43.60696296296296
132,16,-73.78653298334986,40.64698489239521,1,21719,102.73924096385541,61.07913152610442
132,19,-73.78653298334986,40.64698489239521,1,21273,91.98466478696741,47.33316102756893
138,12,-73.87362864289108,40.77437570593249,0,20875,78.62103743654822,37.7074608714044
230,22,-73.9841964890757,40.75981761719184,2,20545,56.98660415271266,24.59212993971869
132,15,-73.78653298334986,40.64698489239521,1,20330,101.08811509860976,62.365562021769584
138,0,-73.87362864289108,40.77437570593249,0,20175,67.28705548128342,24.340508021390374
138,11,-73.87362864289108,40.77437570593249,0,20006,78.96407747866053,38.264954038082735
132,18,-73.78653298334986,40.64698489239521,1,19594,96.79541081460675,52.66076779026217
132,17,-73.78653298334986,40.64698489239521,1,19336,100.18634229329703,58.392576840195076
79,22,-73.98593745682462,40.72762019590955,2,19276,34.82477555248619,19.953320672191527
79,23,-73.98593745682462,40.72762019590955,2,18684,34.353666782851164,19.974056000929476
138,9,-73.87362864289108,40.77437570593249,0,18670,77.67337620578778,37.405912826009285
161,21,-73.97769793122401,40.758028043526274,2,18557,54.87925680390789,23.065183763665967
230,21,-73.9841964890757,40.75981761719184,2,18489,56.51621899362154,23.92963028584928
79,0,-73.98593745682462,40.72762019590955,2,18026,34.841654188948304,19.696470588235293
79,21,-73.98593745682462,40.72762019590955,2,17772,32.50157116451017,19.585138632162664
161,20,-73.97769793122401,40.758028043526274,2,17660,51.753524590163934,23.411241217798594
255,23,-73.95741813122186,40.718803918129915,3,17377,33.11135996926623,20.714566525803562
79,1,-73.98593745682462,40.72762019590955,2,17370,33.3444027831465,18.235420693209637
148,0,-73.99089626184735,40.71893835938025,2,17365,36.970434945631794,19.42585926759155
132,14,-73.78653298334986,40.64698489239521,1,17222,98.00052403467296,58.81390858944051
161,22,-73.97769793122401,40.758028043526274,2,17167,53.59592854338437,22.83403350346813
246,21,-74.00401512528656,40.7533090659834,2,16589,47.17826016915022,22.426050476574037
148,23,-73.99089626184735,40.71893835938025,2,16565,36.38306295399516,20.039265536723164
255,22,-73.95741813122186,40.718803918129915,3,16538,33.21649637972647,20.667457763475465
148,1,-73.99089626184735,40.71893835938025,2,16444,37.35837540716612,18.565017643865364
161,19,-73.97769793122401,40.758028043526274,2,16291,45.961940928270046,23.311680731364277
230,23,-73.9841964890757,40.75981761719184,2,16288,50.42035236938032,25.002868907789928
231,22,-74.00787970866399,40.717772736265154,2,16091,44.701030042918454,20.35856938483548
246,18,-74.00401512528656,40.7533090659834,2,16072,41.195065428450825,21.80513578162375
161,18,-73.97769793122401,40.758028043526274,2,16039,47.22847986852917,23.93420980553273
61,18,-73.93928705867957,40.67446941826645,4,15909,23.25784413384159,19.71586192291402
246,20,-74.00401512528656,40.7533090659834,2,15688,42.053033949290935,21.680554361839278
148,22,-73.99089626184735,40.71893835938025,2,15659,35.81913665943601,20.36457700650759
161,17,-73.97769793122401,40.758028043526274,2,15652,52.280954214805305,27.52317786335758
61,22,-73.93928705867957,40.67446941826645,4,15563,22.70964035087719,17.62578947368421
231,21,-74.00787970866399,40.717772736265154,2,15516,43.25141146278871,20.83733960650128
246,17,-74.00401512528656,40.7533090659834,2,15488,43.979808184143224,22.866666666666667
61,19,-73.93928705867957,40.67446941826645,4,15445,22.971546700942586,18.682526421022565
249,22,-74.00287495910837,40.73457600733176,2,15408,40.72208668453977,20.598838248436103
255,0,-73.95741813122186,40.718803918129915,3,15340,32.8380459770115,19.627557826025257
61,17,-73.93928705867957,40.67446941826645,4,15266,24.623717834960072,20.975295770482106
246,22,-74.00401512528656,40.7533090659834,2,15075,47.72298695652174,22.144376811594203
246,19,-74.00401512528656,40.7533090659834,2,15054,39.1666784765279,21.69823590197815
61,23,-73.93928705867957,40.67446941826645,4,14989,21.887178919397698,16.758680248007085
79,20,-73.98593745682462,40.72762019590955,2,14963,31.25453839122486,19.114792809262642
231,19,-74.00787970866399,40.717772736265154,2,14946,36.246497854077255,19.541838340486407
68,18,-73.99991742024712,40.74842755506573,2,14933,43.816472148541116,23.396743295019157
255,21,-73.95741813122186,40.718803918129915,3,14825,30.894860666971223,21.119255367747833
79,19,-73.98593745682462,40.72762019590955,2,14790,30.28690943043884,19.036087768440712
37,23,-73.92224002165723,40.69499431844213,5,14759,24.781953671328672,18.156708916083918
231,18,-74.00787970866399,40.717772736265154,2,14687,40.19013308857274,21.410945387792562
79,2,-73.98593745682462,40.72762019590955,2,14685,33.553666053357865,18.18267402637228
68,21,-73.99991742024712,40.74842755506573,2,14646,47.5761876155268,23.324568699938386
